Country,Year,Agricultural production index (2014-2016=100),"Balance of payments, current account (million US$)",CPI: Consumer Price Index (2010=100),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agriculture (% of employed),Employment in industry (% of employed),Employment in services (% employed),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),GDP: Gross domestic product (million current US$),International trade: balance (million current US$),International trade: exports (million current US$),International trade: imports (million current US$),Unemployment (% of labour force),Labour force participation rate - Female (per 100 pop.),Labour force participation rate - Male (per 100 pop.),Labour force participation rate - Female/Labour force participation rate - Male Ratio,Education: Government expenditure (% of GDP),"Fertility rate, total (live births per woman)",Health: Current expenditure (% of GDP),Health: Physicians (per 1 000 pop.),Intentional homicide rate (per 100 000 pop.),Population growth rate (average annual %),Refugees and others of concern to UNHCR (000),Seats held by women in national parliaments (%),Under five mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Education: Primary gross enrol. ratio - Female (per 100 pop.),Education: Primary gross enrol. ratio - Male (per 100 pop.),Education: Primary gross enrol. ratio - Female/Education: Primary gross enrol. ratio - Male Ratio,Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female/Education: Upper Sec. gross enrol. ratio - Male Ratio,Education: Lower Sec. gross enrol. ratio - Female (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Male (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Female/Education: Lower Sec. gross enrol. ratio - Male Ratio,International migrant stock (000),International migrant stock (% of total pop.),International migrant stock/International migrant stock Ratio,Life expectancy at birth - Female (years),Life expectancy at birth - Male (years),Life expectancy at birth - Female/Life expectancy at birth - Male Ratio,Population age distribution - 0-14 years (%),Population age distribution - 60+ years (%),Population age distribution - 0-14 years/Population age distribution - 60+ years Ratio,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Armenia,2015.0,107.0,281.0,125.0,18.9,28.2,52.9,52.2,15.4,32.4,3.2,3666.1,10553.0,1774.0,1483.0,3257.0,12.3,55.7,69.4,80.2593659942363,2.8,1.6,10.1,3.0,2.6,0.1,16.0,10.7,14.6,63.1,0.2,102.0,102.7,99.31840311587146,89.3,85.9,103.9580908032596,101.5,103.4,98.16247582205028,191.2,6.5,2941.5384615384614,77.9,70.1,111.12696148359488,20.1,16.1,124.84472049689441,45.0,47.0,11.6,22.6,59.1,,3.16,0.2,111.0,1192.0,5.4,1.9,284.21052631578954,,,,1.1,,
Armenia,2020.0,85.0,505.0,131.0,12.4,29.3,58.2,52.4,13.0,34.6,7.2,4505.9,12642.0,2119.0,2332.0,4451.0,12.2,57.7,67.9,84.97790868924889,2.7,1.6,12.2,3.1,1.9,0.7,19.1,23.5,11.4,63.2,,96.1,97.1,98.97013388259526,86.8,84.2,103.0878859857482,99.4,100.9,98.51337958374629,190.3,6.4,2973.4375,76.3,61.9,123.26332794830373,20.2,19.0,106.3157894736842,45.0,56.0,11.5,22.6,76.5,,1.02,0.2,119.0,375.0,6.5,2.3,282.60869565217394,,,,0.0,,
Armenia,2024.0,84.0,510.0,155.0,11.4,27.7,60.9,52.4,14.0,33.5,12.6,7018.1,19514.0,3651.0,8371.0,12022.0,8.3,55.5,67.6,82.10059171597634,2.8,1.7,12.3,,2.2,0.7,35.9,36.4,10.4,,,92.3,93.5,98.71657754010695,89.1,86.9,102.53164556962024,101.1,102.1,99.0205680705191,,,,79.6,71.6,111.17318435754191,19.2,20.4,94.11764705882352,39.0,57.0,11.5,22.6,77.0,,1.2,0.2,120.0,1666.0,7.1,2.5,284.0,,,,0.0,,
Aruba,2015.0,,118.0,103.0,0.0,13.6,86.4,0.6,14.0,85.1,0.6,28419.2,2963.0,1085.0,80.0,1165.0,10.6,58.8,69.6,84.48275862068965,5.9,1.9,,,1.9,0.8,0.0,,16.5,43.1,0.5,117.0,117.2,99.82935153583618,109.8,109.2,100.54945054945054,125.2,121.1,103.38563170933115,36.1,34.6,104.33526011560694,78.1,72.5,107.72413793103448,19.0,18.0,105.55555555555556,1.0,122.0,2.3,37.1,88.7,,,,29.0,1225.0,0.9,8.7,10.344827586206899,,,,,,
Aruba,2020.0,,316.0,108.0,0.0,12.9,87.1,,,,24.0,24008.1,2559.0,873.0,66.0,939.0,,,,,5.5,1.7,,,,0.0,17.0,,15.1,43.5,,,,,,,,,,,53.6,50.2,106.77290836653385,78.3,72.3,108.29875518672199,18.3,21.9,83.56164383561645,1.0,111.0,2.3,37.1,97.2,,,,44.0,368.0,0.8,7.8,10.256410256410257,,,,,,
Aruba,2024.0,,231.0,118.0,0.0,12.8,87.2,,,,10.5,33300.8,3545.0,1426.0,111.0,1537.0,,,,,,1.6,,,,0.1,17.0,,13.3,,,,,,,,,,,,,,,78.9,73.8,106.91056910569108,16.8,24.8,67.74193548387098,1.0,117.0,2.3,37.1,,,,,86.0,1101.0,0.9,8.2,10.975609756097562,,,,,,
Australia,2015.0,100.0,57147.0,112.0,2.6,24.0,73.4,2.6,20.1,77.3,2.8,52321.0,1246299.0,12322.0,187792.0,200114.0,6.1,59.1,71.1,83.12236286919831,5.3,1.8,10.2,3.5,1.0,1.5,58.4,26.7,3.8,85.7,1.6,101.6,101.7,99.9016715830875,207.0,243.9,84.87084870848707,117.2,132.3,88.58654572940287,6729.7,28.1,23949.110320284693,84.6,80.6,104.96277915632754,18.9,20.3,93.10344827586205,16033.0,224.0,17.3,51.8,84.6,1.15,,1.9,909.0,7449.0,368.1,15.5,2374.8387096774195,99.7,,,,,
Australia,2020.0,84.0,31189.0,121.0,2.5,27.2,70.3,2.8,19.2,78.0,2.1,56001.6,1437563.0,36947.0,247159.0,210213.0,6.5,60.2,70.0,86.0,5.1,1.6,10.7,3.9,0.9,0.7,137.4,30.5,3.6,86.1,,100.0,99.8,100.20040080160322,192.8,197.2,97.7687626774848,108.7,112.5,96.62222222222222,7685.9,30.1,25534.55149501661,85.7,81.6,105.02450980392157,18.6,21.9,84.93150684931508,18958.0,220.0,17.4,57.3,94.7,0.22,,1.8,1308.0,1828.0,383.5,14.9,2573.8255033557048,99.6,,,,,
Australia,2024.0,114.0,21384.0,140.0,2.5,29.1,68.3,2.2,18.6,79.2,3.0,67866.8,1776577.0,81374.0,369235.0,287861.0,3.8,61.3,71.4,85.85434173669466,,1.6,10.5,4.0,0.8,1.0,147.5,38.0,3.2,,,99.2,99.0,100.20202020202021,180.0,190.0,94.73684210526315,107.5,110.5,97.28506787330316,,,,85.8,82.3,104.25273390036452,17.8,23.5,75.74468085106383,17855.0,212.0,17.4,57.3,94.9,0.19,,,1880.0,3694.0,366.8,14.2,2583.098591549296,99.5,,,,,
Austria,2015.0,97.0,6634.0,111.0,1.3,28.2,70.5,4.5,25.8,69.7,1.0,44179.5,381818.0,2652.0,145276.0,147928.0,5.8,55.5,66.1,83.96369137670197,5.5,1.5,10.4,5.1,0.5,1.3,92.2,30.6,3.7,57.7,0.7,100.4,101.7,98.72173058013767,98.8,105.1,94.00570884871551,100.6,100.8,99.8015873015873,1483.1,17.1,8673.099415204677,83.6,78.6,106.3613231552163,14.3,24.0,59.583333333333336,501.0,159.0,47.0,67.4,83.9,1.25,,3.0,106.0,26728.0,59.0,6.8,867.6470588235294,,,,100.0,99.3,100.70493454179254
Austria,2020.0,102.0,14913.0,120.0,1.2,28.4,70.4,3.9,24.9,71.3,6.6,48839.3,435049.0,2490.0,162145.0,164636.0,5.2,55.9,66.0,84.69696969696969,5.2,1.4,11.4,5.3,0.7,0.4,162.1,39.3,3.7,58.5,,101.1,102.0,99.11764705882352,99.5,104.1,95.58117195004805,101.0,101.9,99.11678115799803,1738.2,19.3,9006.21761658031,84.3,79.2,106.43939393939392,14.4,25.6,56.25,503.0,149.0,47.3,67.8,87.5,0.02,,3.2,185.0,15091.0,54.9,6.2,885.4838709677418,,,,100.0,99.3,100.70493454179254
Austria,2024.0,100.0,13686.0,144.0,1.5,29.1,69.3,3.5,26.4,70.1,4.8,52608.8,470302.0,2892.0,215347.0,218239.0,5.7,56.8,67.1,84.64977645305515,,1.3,12.1,5.5,0.9,0.1,314.3,41.0,3.4,,,100.4,101.1,99.30761622156282,100.3,103.6,96.81467181467181,100.6,101.2,99.40711462450592,,,,84.4,79.8,105.76441102756893,14.2,27.9,50.89605734767025,507.0,156.0,47.3,67.9,93.6,0.64,,3.3,182.0,26215.0,57.8,6.5,889.2307692307693,,,,100.0,99.3,100.70493454179254
Azerbaijan,2015.0,101.0,222.0,118.0,6.8,49.3,43.9,36.4,14.1,49.6,1.1,5381.1,53076.0,3432.0,12646.0,9214.0,5.0,61.0,66.1,92.28441754916794,3.0,2.1,4.3,3.3,2.1,1.2,628.1,15.6,26.8,54.7,1.7,105.6,107.4,98.32402234636871,,,,89.2,91.7,97.27371864776445,264.4,2.7,9792.592592592591,75.3,69.1,108.97250361794502,23.5,9.2,255.43478260869566,2474.0,61.0,13.0,36.1,77.0,,0.14,0.2,92.0,1922.0,33.7,3.4,991.1764705882354,91.5,72.6,126.03305785123968,56.5,,
Azerbaijan,2020.0,128.0,316.0,161.0,7.4,46.3,46.2,36.3,14.4,49.3,4.2,4151.0,42693.0,3002.0,13733.0,10731.0,7.2,64.7,70.6,91.643059490085,4.3,1.8,5.8,3.1,2.2,0.6,657.1,16.8,20.0,56.0,,99.9,96.8,103.20247933884299,70.6,73.7,95.79375848032564,86.1,87.0,98.9655172413793,252.2,2.5,10088.0,73.8,66.8,110.47904191616766,23.4,11.9,196.63865546218486,2412.0,63.0,13.7,36.6,84.6,0.1,0.29,0.2,102.0,587.0,33.7,3.3,1021.2121212121212,92.3,78.7,117.28081321473951,60.2,,
Azerbaijan,2024.0,134.0,8329.0,213.0,5.1,60.4,34.4,35.6,14.9,49.5,4.6,7600.0,78721.0,16620.0,33899.0,17278.0,5.7,67.2,73.0,92.05479452054794,3.5,1.7,4.7,,2.4,0.6,668.8,18.1,16.9,,,99.5,100.1,99.4005994005994,57.5,66.1,86.98940998487141,89.8,90.8,98.89867841409692,,,,77.3,71.7,107.81032078103208,21.8,14.2,153.5211267605634,2624.0,66.0,13.8,36.6,88.0,0.06,0.02,0.2,102.0,1508.0,35.2,3.4,1035.2941176470588,92.3,81.1,113.81011097410605,63.0,,
